id,id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
3359,66,Blaise Pascal,Male,1623,Clermont-Ferrand,,France,Europe,45.7831,3.0824,Mathematician,Math,Science & Technology,103,17297105,167933,29.2544
4954,4672,Dziga Vertov,Male,1896,Białystok,,Poland,Europe,53.11666999999999,23.15,Film Director,Film And Theatre,Arts,27,984833,36475,23.5913
5471,5603,Max Wolf,Male,1863,Heidelberg,,Germany,Europe,49.41667,8.71667,Astronomer,Natural Sciences,Science & Technology,34,212224,6242,23.0697
617,3286,Hugo von Hofmannsthal,Male,1874,Landstraße,,Austria,Europe,48.19639,16.39583,Writer,Language,Humanities,31,1294235,41750,24.3443
3147,1025,Mikhail Lermontov,Male,1814,Moscow,,Russia,Europe,55.75,37.61667,Writer,Language,Humanities,59,1419489,24059,26.0166
10444,1427,Teresa of Ávila,Female,1515,Gotarrendura,,Spain,Europe,40.81667,-4.7333300000000005,Religious Figure,Religion,Institutions,46,4497047,97762,25.5861
3855,6621,Melvil Dewey,Male,1851,Adams Center,NY,United States,North America,43.86222,-76.00694,Inventor,Invention,Science & Technology,29,680309,23459,22.4539
3535,9849,Patrick Rafter,Male,1972,Mount Isa,,Australia,Oceania,-20.73333,139.5,Tennis Player,Individual Sports,Sports,37,1681288,45440,17.8739
9377,11180,Jeremy Wariner,Male,1984,Irving,TX,United States,North America,32.81167,-96.95083000000001,Athlete,Individual Sports,Sports,29,1021027,35208,14.0171
10425,9859,Hamit Altıntop,Male,1982,Gelsenkirchen,,Germany,Europe,51.51667,7.1,Soccer Player,Team Sports,Sports,43,4092959,95185,17.8584
11065,8851,Sandra,Female,1962,Saarbrücken,,Germany,Europe,49.23333,7.0,Singer,Music,Arts,33,756918,22937,19.8646
2613,6988,Don Rosa,Male,1951,Louisville,KY,United States,North America,38.25,-85.76666999999998,Comic Artist,Design,Arts,26,1098278,42241,22.2169
680,5422,James Mason,Male,1909,Huddersfield,,United Kingdom,Europe,53.645,-1.7798,Actor,Film And Theatre,Arts,33,2866700,86870,23.1603
9020,2926,Max Reger,Male,1873,Brand,,Germany,Europe,49.95,11.9,Composer,Music,Arts,37,765375,20686,24.5431
7268,9214,Claudio Caniggia,Male,1967,Henderson,,Argentina,South America,-36.28333,-61.71666999999999,Soccer Player,Team Sports,Sports,31,2189722,70636,19.1788
6081,10404,Steve Mandanda,Male,1985,Kinshasa,,,Africa,-4.325,15.322220000000002,Soccer Player,Team Sports,Sports,32,1273038,39782,16.6266
9574,5018,Daphne du Maurier,Female,1907,London,,United Kingdom,Europe,51.507220000000004,-0.1275,Writer,Language,Humanities,33,2014485,61045,23.4003
1438,10074,Howard Webb,Male,1971,Rotherham,,United Kingdom,Europe,53.4301,-1.3572,Referee,Team Sports,Sports,42,2872091,68383,17.3791
9178,1567,Pausanias,Male,110,Anatolia,,Turkey,Asia,39.0,32.0,Geographer,Social Sciences,Science & Technology,38,407968,10736,25.4719
11158,9950,Ashley Greene,Female,1987,Jacksonville,FL,United States,North America,30.336940000000002,-81.66139,Actor,Film And Theatre,Arts,35,15579854,445139,17.6779
7012,3955,Goldie Hawn,Female,1945,"Washington, D.C.",,United States,North America,,,Actor,Film And Theatre,Arts,41,10706229,261128,23.9664
1113,10742,Muntadhar al Zaidi,Male,1979,Iraq,,Iraq,Asia,33.33333,44.43333,Journalist,Language,Humanities,35,696293,19894,15.7644
9861,5462,George Eastman,Male,1854,Waterville,NY,United States,North America,42.931670000000004,-75.37666999999998,Inventor,Invention,Science & Technology,40,1808698,45217,23.1371
2034,7788,Chinua Achebe,Male,1930,Ogidi,,Nigeria,Africa,6.15,6.86667,Writer,Language,Humanities,47,2735823,58209,21.4536
4962,3344,Leopold von Ranke,Male,1795,Wiehe,,Germany,Europe,51.26667,11.41667,Historian,History,Humanities,34,863860,25408,24.3135
7934,9177,Ayaan Hirsi Ali,Female,1969,Mogadishu,,Somalia,Africa,2.03333,45.35,Philosopher,Philosophy,Humanities,36,3098782,86077,19.2462
706,4918,Jacques Monod,Male,1910,Paris,,France,Europe,48.8567,2.3508,Chemist,Natural Sciences,Science & Technology,36,621576,17266,23.4585
553,3208,Stenka Razin,Male,1630,Voronezh,,Russia,Europe,59.93333000000001,30.33333,Social Activist,Activism,Public Figure,33,610485,18500,24.3851
10548,7968,Julio María Sanguinetti Coirolo,Male,1936,Montevideo,,Uruguay,South America,-34.88361,-56.181940000000004,Politician,Government,Institutions,27,235651,8728,21.2089
2596,4621,Luciano Berio,Male,1925,Oneglia,,Italy,Europe,,,Composer,Music,Arts,32,921894,28809,23.6148
8905,2394,Erik Axel Karlfeldt,Male,1864,Dalarna,,Sweden,Europe,,,Writer,Language,Humanities,53,391010,7378,24.8524
10192,10069,Pascal Zuberbühler,Male,1971,Frauenfeld,,Switzerland,Europe,47.55,8.9,Soccer Player,Team Sports,Sports,26,374708,14412,17.3868
2843,394,Gustav Mahler,Male,1860,Kaliště,,Czech Republic,Europe,49.593059999999994,15.304170000000001,Composer,Music,Arts,76,7499603,98679,27.2288
911,6287,Abdoulaye Wade,Male,1926,Kébémer Department,,Senegal,Africa,15.37,-16.45,Politician,Government,Institutions,43,981117,22817,22.6769
8503,5176,Heinrich Otto Wieland,Male,1877,Pforzheim,,Germany,Europe,48.9,8.71667,Chemist,Natural Sciences,Science & Technology,36,242515,6737,23.303
2969,357,Alessandro Volta,Male,1745,Como,,Italy,Europe,45.81667,9.08333,Physicist,Natural Sciences,Science & Technology,73,6799961,93150,27.3457
1901,10613,Birgit Prinz,Female,1977,Frankfurt,,Germany,Europe,50.11667,8.68333,Soccer Player,Team Sports,Sports,27,1210871,44847,16.077
7413,4974,André Malraux,Male,1901,Paris,,France,Europe,48.8567,2.3508,Writer,Language,Humanities,44,2656281,60370,23.4229
4682,2742,Emil Adolf von Behring,Male,1854,Ławice,,Poland,Europe,53.6,19.66667,Physician,Medicine,Science & Technology,52,646722,12437,24.6517
503,8103,Martin Lawrence,Male,1965,Frankfurt,,Germany,Europe,50.11667,8.68333,Actor,Film And Theatre,Arts,45,10437037,231934,21.0299
2930,4414,Columba,Male,521,Gartan,,Ireland,Europe,55.029740000000004,-7.77866,Religious Figure,Religion,Institutions,33,974606,29534,23.7308
194,10870,Jeffrén Suárez,Male,1988,Ciudad Bolívar,,Venezuela,Europe,8.11667,-63.55,Soccer Player,Team Sports,Sports,29,2190090,75520,15.3693
